date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2021-12-01,6514802157.03399,21512403820.17717,19820031254.659252,10504492558.558664,11973337746.88208,15754109747.767368,6696952438.526605,5149301518.084331
2021-12-02,6504847123.44709,21479096121.54596,19753823382.356,10435890304.973267,11892556089.132862,15685517728.387688,6497740335.407881,5676284904.585619
2021-12-03,6277814398.593569,21475675815.345,19557459876.03261,10412283037.25093,11689799167.372467,15387654437.780655,6312704689.914827,5915762684.545844
2021-12-04,5872193637.475953,20879271204.04038,18617129862.85448,9855316367.639524,11151145046.584816,14609760388.037983,5954326361.3796425,5756438424.628747
2021-12-05,5806948261.200647,20071785860.113182,18223173215.322243,9757237894.101759,10486542039.009615,13925982806.535786,5755899534.864593,6403604361.094747
2021-12-06,5825199587.904571,20179596873.781235,18596920304.55799,9701187834.538342,10717113634.72291,14011840199.456852,5737149691.878783,5764410627.801471
2021-12-07,5709645689.814801,20806093724.378513,19195592307.8603,10009981919.24949,11074560591.078289,14520051449.163889,5860307435.692574,6148731515.142431
2021-12-08,5862577715.881836,20896648940.70902,19106094117.830276,10009981919.24949,11037381955.443163,14531412373.660099,5853272833.417031,6349605243.759497
2021-12-09,5523932342.817261,21257617442.362984,19482328696.00599,9744711468.100748,11266209046.232708,14861839686.933268,5893127464.425968,6535425992.317154
2021-12-10,5370654985.097492,20847635356.863865,18533512227.508125,9048469619.726513,10513511443.274897,14100384877.122002,5168964624.900858,6174912660.536657
2021-12-11,5466084199.587019,20860338916.499706,17744439621.924,8715661454.890026,10075664357.065897,13416836549.651274,5006817717.015081,6038906504.523869
2021-12-12,5532310970.344403,21386648825.809193,18267668981.690468,8918876757.199087,10417263813.662191,13929196967.671618,5118802795.558078,5909713113.309559
2021-12-13,5159678313.825383,21622747965.949776,18502793086.24054,9043611451.252333,10586101833.220304,14294309575.300209,5213532501.536904,6135429763.072123
2021-12-14,5280359081.284999,20984550142.640823,17233284647.739338,8428218380.034948,9960438973.151749,13215023761.476486,4867208826.02685,5660208882.444691
2021-12-15,5521061852.46066,21063817967.015152,17563663853.82056,8421118175.020252,10024226338.562271,13420291967.867569,4820443994.361339,6061575520.726302
2021-12-16,5462998297.334245,21531785885.784935,18286645329.795525,8690178265.88457,10417815971.732634,13980724863.867489,5046884114.710789,6209236431.923969
2021-12-17,5431311570.192896,21468133023.923454,18151228055.451847,8608004622.602644,10114749767.466778,13838523943.98155,4977631866.62065,6337074966.0421915
2021-12-18,5503209489.563614,21351351010.57035,18025040108.230648,8375280453.444994,9842446660.456709,13848900173.897781,4862258375.050068,6497697692.191052
2021-12-19,5490750768.642169,21838388406.390297,18365612514.707767,8552631279.588781,10000261483.608564,14132278739.582113,4941927811.3012705,7156654346.466286
2021-12-20,5427754537.360961,21774352205.98118,18176234728.224052,8583038207.420262,9958857075.918602,14103913210.610497,4993434743.4648485,7313548088.283925
2021-12-21,5542600129.88157,21786445859.348263,18272441725.29746,8697015891.687706,10050417256.6522,14241378819.975029,5054949519.195281,7622316513.698272
2021-12-22,5514789999.446042,22108987194.897827,18631782204.04576,8826730336.068645,10241592820.094078,14550782723.141073,5183914265.96201,8589835150.036116
2021-12-23,5640150056.535084,22114844059.376747,18536968734.750538,8841112151.486082,9833144466.901756,14590238579.92271,5211253961.059248,8342503173.605463
2021-12-24,5622665008.043148,22720530115.964615,18999224775.51394,9053449752.709953,10215122022.75524,15256473587.665901,5480546399.071743,8820301060.272228
2021-12-25,5683607691.446794,22667722502.612732,18816440346.78956,8999883777.862099,10040464938.743746,15131407074.823036,5427234844.148796,8967077818.376703
2021-12-26,5678675920.982364,23212298594.791546,18969573816.568367,9088095125.230165,10080217824.741491,15138115354.93931,5457699228.535936,9050895011.76509
2021-12-27,5799955525.17835,23320065319.79905,18981906363.871277,9086387783.35307,10139233113.96521,15380036745.74343,5463927481.212426,9140217304.953176
